,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
328,Amor eterno,Tango,https://www.todotango.com/musica/tema/5809/Amor-eterno/,True,False,False,False,True
330,Amor extraño,Tango,https://www.todotango.com/musica/tema/6934/Amor-extrano/,True,False,False,False,True
331,Amor filial,Tango,https://www.todotango.com/musica/tema/7228/Amor-filial/,True,True,False,False,True
333,Amor mentiroso,Tango,https://www.todotango.com/musica/tema/8990/Amor-mentiroso/,True,False,False,False,True
335,Amor que baila y se va,Tango,https://www.todotango.com/musica/tema/7434/Amor-que-baila-y-se-va/,True,False,False,False,True
336,Amor sin adiós,Tango,https://www.todotango.com/musica/tema/2354/Amor-sin-adios/,True,False,False,False,True
337,Amor sin grupo,Tango,https://www.todotango.com/musica/tema/4484/Amor-sin-grupo/,True,False,False,False,True
338,Amor tardío,Tango,https://www.todotango.com/musica/tema/7028/Amor-tardio/,True,False,False,False,True
341,Amor y espanto,Tango,https://www.todotango.com/musica/tema/6370/Amor-y-espanto/,True,False,False,False,True
343,Amor y sueños,Tango,https://www.todotango.com/musica/tema/8452/Amor-y-suenos/,True,False,False,False,True
344,Amor y tango,Tango,https://www.todotango.com/musica/tema/756/Amor-y-tango/,True,False,False,False,True
345,Amor y tango [b],Tango,https://www.todotango.com/musica/tema/6333/Amor-y-tango-[b]/,True,False,False,False,True
349,Amores viejos,Tango,https://www.todotango.com/musica/tema/153/Amores-viejos/,True,True,False,False,True
350,Amurado,Tango,https://www.todotango.com/musica/tema/354/Amurado/,True,True,True,True,False
351,Anclada al paraíso,Tango,https://www.todotango.com/musica/tema/6902/Anclada-al-paraiso/,True,False,False,False,True
352,Anclao en París,Tango,https://www.todotango.com/musica/tema/37/Anclao-en-Paris/,True,False,True,True,False
355,Andate (No te vayas),Tango,https://www.todotango.com/musica/tema/1837/Andate-No-te-vayas/,True,True,False,False,True
356,Andate con la otra,Tango,https://www.todotango.com/musica/tema/294/Andate-con-la-otra/,True,False,False,False,True
357,Andate y no vuelvas,Tango,https://www.todotango.com/musica/tema/4113/Andate-y-no-vuelvas/,True,False,False,False,True
358,Ando pato,Tango,https://www.todotango.com/musica/tema/783/Ando-pato/,True,False,False,False,True
361,Angustia,Tango,https://www.todotango.com/musica/tema/1852/Angustia/,True,False,False,True,False
362,Año nuevo,Tango,https://www.todotango.com/musica/tema/6686/Ano-nuevo/,True,False,False,False,True
363,Anoche,Tango,https://www.todotango.com/musica/tema/82/Anoche/,True,False,False,True,False
364,Anoche a las dos,Tango,https://www.todotango.com/musica/tema/1845/Anoche-a-las-dos/,True,True,False,True,False
365,"Anoche, bastante tarde",Tango,https://www.todotango.com/musica/tema/3884/Anoche-bastante-tarde/,True,False,False,False,True
366,Añoranza de amor en tango,Tango,https://www.todotango.com/musica/tema/10057/Anoranza-de-amor-en-tango/,True,False,False,False,True
368,Años de arena,Tango,https://www.todotango.com/musica/tema/7446/Anos-de-arena/,True,False,False,False,True
369,Años gardelianos,Tango,https://www.todotango.com/musica/tema/8737/Anos-gardelianos/,True,False,False,False,True
370,Anselmo Acuña el resero,Tango,https://www.todotango.com/musica/tema/2683/Anselmo-Acuna-el-resero/,True,False,False,True,False
371,Anselmo Laguna,Tango,https://www.todotango.com/musica/tema/3839/Anselmo-Laguna/,True,False,False,False,True
372,Ansias,Tango,https://www.todotango.com/musica/tema/1204/Ansias/,True,False,False,False,True
373,Ansias de amor,Tango,https://www.todotango.com/musica/tema/5210/Ansias-de-amor/,True,False,False,True,False
374,Ansiedad,Tango,https://www.todotango.com/musica/tema/126/Ansiedad/,True,False,False,False,True
375,Anteayer,Tango,https://www.todotango.com/musica/tema/4575/Anteayer/,True,False,False,False,True
377,Antes que llegue otro día,Tango,https://www.todotango.com/musica/tema/6007/Antes-que-llegue-otro-dia/,True,False,False,False,True
378,Antiguo reloj de cobre,Tango,https://www.todotango.com/musica/tema/1451/Antiguo-reloj-de-cobre/,True,False,False,True,False
379,Apache,Tango,https://www.todotango.com/musica/tema/390/Apache/,True,True,False,False,True
380,Apasionadamente,Tango,https://www.todotango.com/musica/tema/3830/Apasionadamente/,True,False,False,False,True
381,Apenas Marielena,Tango,https://www.todotango.com/musica/tema/2016/Apenas-Marielena/,True,False,False,False,True
382,Apiádate (Perdonami),Tango,https://www.todotango.com/musica/tema/3814/Apiadate-Perdonami/,True,False,False,False,True
383,Apocalipsis,Tango,https://www.todotango.com/musica/tema/1704/Apocalipsis/,True,False,False,False,True
387,Aporteñado,Tango,https://www.todotango.com/musica/tema/9691/Aportenado/,True,False,False,False,True
388,Aprender,Tango,https://www.todotango.com/musica/tema/6411/Aprender/,True,False,False,False,True
389,Apronte,Tango,https://www.todotango.com/musica/tema/1080/Apronte/,True,False,False,False,True
