,Título,Género,Subgénero,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Género_idx,Downloaded
39,A Leopoldo Federico,Tango,Tango,https://www.todotango.com/musica/tema/6958/A-Leopoldo-Federico/,True,False,False,True,7,False
40,A lo Magdalena,Tango,Tango,https://www.todotango.com/musica/tema/4681/A-lo-Magdalena/,True,False,False,False,7,True
41,A lo Megata,Tango,Tango,https://www.todotango.com/musica/tema/1060/A-lo-Megata/,True,False,True,True,7,False
42,A lo mejor quién te dice,Tango,Tango,https://www.todotango.com/musica/tema/2682/A-lo-mejor-quien-te-dice/,True,False,False,False,7,True
45,A mal tiempo buena cara,Tango,Tango,https://www.todotango.com/musica/tema/1236/A-mal-tiempo-buena-cara/,True,False,False,False,7,True
48,A media luz,Tango,Tango,https://www.todotango.com/musica/tema/597/A-media-luz/,True,True,True,True,7,False
49,A medianoche,Tango,Tango,https://www.todotango.com/musica/tema/4115/A-medianoche/,True,False,False,False,7,True
50,A mi barrio,Tango,Tango,https://www.todotango.com/musica/tema/6703/A-mi-barrio/,True,False,False,True,7,False
51,A mi calle,Tango,Tango,https://www.todotango.com/musica/tema/4966/A-mi-calle/,True,False,False,True,7,False
52,A mí dejame en mi barrio,Tango,Tango,https://www.todotango.com/musica/tema/3815/A-mi-dejame-en-mi-barrio/,True,False,False,False,7,True
53,A mi hijo,Tango,Tango,https://www.todotango.com/musica/tema/6097/A-mi-hijo/,True,False,False,False,7,True
54,A mi hijo [b],Tango,Tango,https://www.todotango.com/musica/tema/8568/A-mi-hijo-[b]/,True,False,False,False,7,False
60,A mí me llaman Juan Tango,Tango,Tango,https://www.todotango.com/musica/tema/2526/A-mi-me-llaman-Juan-Tango/,True,False,False,False,7,True
63,A mi nieto,Tango,Tango,https://www.todotango.com/musica/tema/8449/A-mi-nieto/,True,False,False,False,7,True
64,A mí no me den consejos,Tango,Tango,https://www.todotango.com/musica/tema/3244/A-mi-no-me-den-consejos/,True,False,False,True,7,False
65,A mí no me hablen de penas,Tango,Tango,https://www.todotango.com/musica/tema/3409/A-mi-no-me-hablen-de-penas/,True,False,False,False,7,True
66,A mí no me hablen de tango,Tango,Tango,https://www.todotango.com/musica/tema/3126/A-mi-no-me-hablen-de-tango/,True,False,False,False,7,False
68,A mi país,Tango,Tango,https://www.todotango.com/musica/tema/1372/A-mi-pais/,True,False,False,False,7,True
71,A mi viejo querido,Tango,Tango,https://www.todotango.com/musica/tema/3107/A-mi-viejo-querido/,True,False,False,False,7,True
76,A Montmartre,Tango,Tango,https://www.todotango.com/musica/tema/4640/A-Montmartre/,True,False,False,False,7,True
79,A oscuras,Tango,Tango,https://www.todotango.com/musica/tema/4281/A-oscuras/,True,False,False,False,7,True
81,A Pablo Neruda,Tango,Tango,https://www.todotango.com/musica/tema/8283/A-Pablo-Neruda/,True,False,False,False,7,True
82,A pan y agua,Tango,Tango,https://www.todotango.com/musica/tema/324/A-pan-y-agua/,True,True,True,True,7,False
84,A pesar de todo,Tango,Tango,https://www.todotango.com/musica/tema/7626/A-pesar-de-todo/,True,True,False,False,7,True
86,A pesar de…,Tango,Tango,https://www.todotango.com/musica/tema/9203/A-pesar-de/,True,False,False,False,7,True
87,A qué has venido,Tango,Tango,https://www.todotango.com/musica/tema/2783/A-que-has-venido/,True,False,False,True,7,False
88,A quién le puede importar,Tango,Tango,https://www.todotango.com/musica/tema/325/A-quien-le-puede-importar/,True,False,True,True,7,False
89,A Raúl Berón,Tango,Tango,https://www.todotango.com/musica/tema/7274/A-Raul-Beron/,True,False,True,False,7,True
90,A remolque,Tango,Tango,https://www.todotango.com/musica/tema/6669/A-remolque/,True,False,False,False,7,True
91,A rienda suelta,Tango,Tango,https://www.todotango.com/musica/tema/4233/A-rienda-suelta/,True,True,False,False,7,True
92,A río revuelto,Tango,Tango,https://www.todotango.com/musica/tema/5544/A-rio-revuelto/,True,False,False,False,7,True
95,A suerte y verdad,Tango,Tango,https://www.todotango.com/musica/tema/1339/A-suerte-y-verdad/,True,False,False,False,7,True
96,A tango traviesa,Tango,Tango,https://www.todotango.com/musica/tema/8818/A-tango-traviesa/,True,False,False,False,7,True
100,A tu ventana,Tango,Tango,https://www.todotango.com/musica/tema/1211/A-tu-ventana/,True,False,False,False,7,True
101,A un semejante,Tango,Tango,https://www.todotango.com/musica/tema/544/A-un-semejante/,True,False,False,True,7,False
102,A un vate rante,Tango,Tango,https://www.todotango.com/musica/tema/9087/A-un-vate-rante/,True,False,False,False,7,True
104,A Villa Madero,Tango,Tango,https://www.todotango.com/musica/tema/9468/A-Villa-Madero/,True,False,False,False,7,True
105,A vos Poeta,Tango,Tango,https://www.todotango.com/musica/tema/8992/A-vos-Poeta/,True,False,False,False,7,True
106,A vos te arrancaron verde,Tango,Tango,https://www.todotango.com/musica/tema/7735/A-vos-te-arrancaron-verde/,True,False,False,False,7,True
107,A vos yo te piropeo,Tango,Tango,https://www.todotango.com/musica/tema/7354/A-vos-yo-te-piropeo/,True,False,False,False,7,True
108,Abandonada,Tango,Tango,https://www.todotango.com/musica/tema/1388/Abandonada/,True,False,True,True,7,False
109,Abandono,Tango,Tango,https://www.todotango.com/musica/tema/235/Abandono/,True,False,False,True,7,False
112,Abrojos,Tango,Tango,https://www.todotango.com/musica/tema/2847/Abrojos/,True,True,False,False,7,True
114,Abuelito,Tango,Tango,https://www.todotango.com/musica/tema/3799/Abuelito/,True,False,False,False,7,True
115,Acabala,Tango,Tango,https://www.todotango.com/musica/tema/4462/Acabala/,True,True,False,False,7,True
116,Acabala un poco,Tango,Tango,https://www.todotango.com/musica/tema/7332/Acabala-un-poco/,True,False,False,False,7,True
117,Acacias,Tango,Tango,https://www.todotango.com/musica/tema/7147/Acacias/,True,True,False,False,7,True
119,Acaso,Tango,Tango,https://www.todotango.com/musica/tema/7814/Acaso/,True,False,False,False,7,True
123,Acquaforte,Tango,Tango,https://www.todotango.com/musica/tema/21/Acquaforte/,True,True,False,True,7,False
124,Actualidad porteña,Tango,Tango,https://www.todotango.com/musica/tema/6786/Actualidad-portena/,True,False,False,False,7,True
125,Acuarelas del recuerdo,Tango,Tango,https://www.todotango.com/musica/tema/8470/Acuarelas-del-recuerdo/,True,False,False,False,7,True
126,Acuarelita del arrabal,Tango,Tango,https://www.todotango.com/musica/tema/384/Acuarelita-del-arrabal/,True,True,False,True,7,False
127,Acuérdate de mí,Tango,Tango,https://www.todotango.com/musica/tema/4562/Acuerdate-de-mi/,True,False,False,False,7,True
129,Acunando a Eladia,Tango,Tango,https://www.todotango.com/musica/tema/6712/Acunando-a-Eladia/,True,False,False,False,7,True
133,Adentro de mí,Tango,Tango,https://www.todotango.com/musica/tema/9312/Adentro-de-mi/,True,False,False,False,7,True
135,Adiós [b],Tango,Tango,https://www.todotango.com/musica/tema/7280/Adios-[b]/,True,False,False,False,7,True
139,Adiós a Pompeya,Tango,Tango,https://www.todotango.com/musica/tema/6547/Adios-a-Pompeya/,True,False,False,False,7,True
140,Adiós amor,Tango,Tango,https://www.todotango.com/musica/tema/8110/Adios-amor/,True,False,False,False,7,True
141,Adiós Argentina,Tango,Tango,https://www.todotango.com/musica/tema/1714/Adios-Argentina/,True,False,False,False,7,True
142,Adiós Arolas (Se llamaba Eduardo Ar,Tango,Tango,https://www.todotango.com/musica/tema/728/Adios-Arolas-Se-llamaba-Eduardo-Arolas/,True,True,False,False,7,True
